    INFO: 2024-05-17 20:59:18,631:               log.py:   20: Logging to /home/ddo/CMU/JOBS/SYSTEMTWO/mitreattacktemp/mdpdf.log
   DEBUG: 2024-05-17 20:59:18,631:               cli.py:  103: temp.md
    INFO: 2024-05-17 20:59:18,631:         converter.py:   14: temp.md
   DEBUG: 2024-05-17 20:59:18,635:      pdf_renderer.py:  470: printSegment: Threat Actor Profiling:
   DEBUG: 2024-05-17 20:59:18,636:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,636:      pdf_renderer.py:  470: printSegment: Threat Actor:
   DEBUG: 2024-05-17 20:59:18,637:      pdf_renderer.py:  470: printSegment:  Midnight Blizzard
   DEBUG: 2024-05-17 20:59:18,637:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,638:      pdf_renderer.py:  470: printSegment: Other Names:
   DEBUG: 2024-05-17 20:59:18,638:      pdf_renderer.py:  470: printSegment:  NOBELIUM, APT29, UNC2452, Cozy Bear
   DEBUG: 2024-05-17 20:59:18,639:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,639:      pdf_renderer.py:  470: printSegment: Country:
   DEBUG: 2024-05-17 20:59:18,640:      pdf_renderer.py:  470: printSegment:  Russia
   DEBUG: 2024-05-17 20:59:18,640:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,641:      pdf_renderer.py:  470: printSegment: Affiliation:
   DEBUG: 2024-05-17 20:59:18,641:      pdf_renderer.py:  470: printSegment:  Foreign Intelligence Service of the Russian Federation (SVR)
   DEBUG: 2024-05-17 20:59:18,642:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,642:      pdf_renderer.py:  470: printSegment: Motivation:
   DEBUG: 2024-05-17 20:59:18,643:      pdf_renderer.py:  470: printSegment:  Espionage and intelligence collection
   DEBUG: 2024-05-17 20:59:18,643:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,643:      pdf_renderer.py:  470: printSegment: Active Since:
   DEBUG: 2024-05-17 20:59:18,644:      pdf_renderer.py:  470: printSegment:  2018
   DEBUG: 2024-05-17 20:59:18,644:      pdf_renderer.py:  470: printSegment: Techniques:
   DEBUG: 2024-05-17 20:59:18,644:      pdf_renderer.py:  470: printSegment:  1 
   DEBUG: 2024-05-17 20:59:18,645:      pdf_renderer.py:  470: printSegment: Social Engineering:
   DEBUG: 2024-05-17 20:59:18,645:      pdf_renderer.py:  470: printSegment:  Uses credential theft phishing lures sent as Microsoft Teams chats.
   DEBUG: 2024-05-17 20:59:18,646:      pdf_renderer.py:  470: printSegment:  2 
   DEBUG: 2024-05-17 20:59:18,646:      pdf_renderer.py:  470: printSegment: Compromise of Microsoft 365 Tenants:
   DEBUG: 2024-05-17 20:59:18,650:      pdf_renderer.py:  470: printSegment:  Uses previously compromised Microsoft 365 tenants to
   DEBUG: 2024-05-17 20:59:18,650:      pdf_renderer.py:  470: printSegment: create new domains that appear as technical support entities for further phishing attacks.
   DEBUG: 2024-05-17 20:59:18,651:      pdf_renderer.py:  470: printSegment:  3 
   DEBUG: 2024-05-17 20:59:18,651:      pdf_renderer.py:  470: printSegment: MFA Prompt Bombing:
   DEBUG: 2024-05-17 20:59:18,652:      pdf_renderer.py:  470: printSegment:  Engages users to approve MFA prompts via social engineering messages.
   DEBUG: 2024-05-17 20:59:18,653:      pdf_renderer.py:  470: printSegment:  4 
   DEBUG: 2024-05-17 20:59:18,653:      pdf_renderer.py:  470: printSegment: Token Theft:
